Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Practice_TS_1,Firefox 68.0,,,2019-07-25 11:27:47,2019-07-25 11:28:48,1m - 0.744s,INCOMPLETE
,,,,,,,
Test Cases/tc_0_0_1_RR_ASA_quality_academy_attend,Firefox 68.0,,,2019-07-25 11:27:47,2019-07-25 11:27:57,9.948s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-07-25 11:27:47,2019-07-25 11:27:51,3.881s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:27:51,2019-07-25 11:27:51,0.032s,PASSED
"navigateToUrl(""https://www.asaquality.ee/"")",Firefox 68.0,,,2019-07-25 11:27:51,2019-07-25 11:27:53,1.392s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/button_EST""))",Firefox 68.0,,,2019-07-25 11:27:53,2019-07-25 11:27:53,0.322s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Avaleht - ASA Quality Services/a_ENG""))",Firefox 68.0,,,2019-07-25 11:27:53,2019-07-25 11:27:54,1.150s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_About Us - ASA Quality/a_Academy""))",Firefox 68.0,,,2019-07-25 11:27:54,2019-07-25 11:27:55,1.178s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_Attend""))",Firefox 68.0,,,2019-07-25 11:27:55,2019-07-25 11:27:55,0.261s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/input_Error on form submit_btn btn-primary w-100 my-0""), STOP_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:27:55,2019-07-25 11:27:56,0.266s,PASSED
"waitForElementAttributeValue(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/div_First and last name""), ""class"", ""form-group has-error"", 2)",Firefox 68.0,,,2019-07-25 11:27:56,2019-07-25 11:27:56,0.061s,PASSED
"click(findTestObject(""tc_0_0_1_RR_OR/Page_Academy - ASA Quality/button_close""))",Firefox 68.0,,,2019-07-25 11:27:56,2019-07-25 11:27:56,0.234s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:27:56,2019-07-25 11:27:57,0.910s,PASSED
,,,,,,,
Test Cases/tc_0_1_1_MM_Katalon_Demo_Kura_Login,Firefox 68.0,,,2019-07-25 11:27:57,2019-07-25 11:28:03,6.082s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/profile.php#login"")",Firefox 68.0,,,2019-07-25 11:27:57,2019-07-25 11:28:01,3.944s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:28:01,2019-07-25 11:28:01,0.010s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:28:01,2019-07-25 11:28:02,0.379s,PASSED
"waitForElementPresent(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 2)",Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:02,0.030s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:02,0.059s,PASSED
"setText(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:02,0.044s,PASSED
"click(findTestObject(""tc_0_1_1_MM_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:02,0.363s,PASSED
"verifyTextPresent(""Make Appointment"", false, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:02,0.116s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:28:02,2019-07-25 11:28:03,0.887s,PASSED
,,,,,,,
Test Cases/tc_0_2_1_SM_Alibris_Book_Stoore,Firefox 68.0,,,2019-07-25 11:28:03,2019-07-25 11:28:48,44.514s,PASSED
"openBrowser(""https://www.alibris.com/"")",Firefox 68.0,,,2019-07-25 11:28:03,2019-07-25 11:28:09,5.629s,PASSED
maximizeWindow(),Firefox 68.0,,,2019-07-25 11:28:09,2019-07-25 11:28:09,0.012s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Search by Title Author or ISBN_keyword""), 2)",Firefox 68.0,,,2019-07-25 11:28:09,2019-07-25 11:28:09,0.024s,PASSED
"setText(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Search by Title Author or ISBN_keyword""), ""Steam engine"")",Firefox 68.0,,,2019-07-25 11:28:09,2019-07-25 11:28:09,0.051s,PASSED
"click(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_Alibris - Buy new and used books textbooks music and movies/input_Select Book Format Menu_hs""))",Firefox 68.0,,,2019-07-25 11:28:09,2019-07-25 11:28:10,1.123s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/a_Building Simple Model Steam Engines""), 3)",Firefox 68.0,,,2019-07-25 11:28:10,2019-07-25 11:28:10,0.016s,PASSED
"click(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/button_Add to Cart""), OPTIONAL)",Firefox 68.0,,,2019-07-25 11:28:10,2019-07-25 11:28:41,30.477s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/h2_Items Added to Cart""), 2, OPTIONAL)",Firefox 68.0,,,2019-07-25 11:28:41,2019-07-25 11:28:43,2.085s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/h2_Your cart summary""), 2, OPTIONAL)",Firefox 68.0,,,2019-07-25 11:28:43,2019-07-25 11:28:45,2.086s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/tc_0_2_1_SM_OR/Page_steam engine - Alibris/h3_Building Simple Model Steam""), 2, OPTIONAL)",Firefox 68.0,,,2019-07-25 11:28:45,2019-07-25 11:28:47,2.083s,PASSED
closeBrowser(),Firefox 68.0,,,2019-07-25 11:28:47,2019-07-25 11:28:48,0.763s,PASSED
